"﻿""Product Name""",No,category,collection,target market,Calculate on Weight,Dimensions(mm) x y z,description (80 word),Price < 25 QTY,Price >=25 QTY,discount cal,Document Link,Discount %,calc,Name on Store,Arabic Name,Available,Hidden,Colors,Image,Gallery
Safe-Drop Livebearer Breeding Separator,PTSTLS-1225-011,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,22,110*110*65,"Ensure the survival of your newborn fish with this Safe-Drop Livebearer Breeding Separator.   Specifically designed for live-bearing species like Guppies and Platies, this slotted insert isolates the expectant mother while allowing fry to escape safely through the honeycomb base.   The vertical vents maximize oxygen flow, creating a stress-free birthing environment.   Simply place it in a compatible reservoir to create an instant, effective hatchery that prevents predation.",1.65,1.32,20,https://drive.google.com/file/d/1tkNoc4Mwyk635et1X8130gkr_T9DnETK/view?usp=drive_link,20% Discount,-1.65,ã€Guppy Birthing Deviceã€‘Only 20g!,ÙØ§ØµÙ„ ØªÙØ±ÙŠØ® Ø¢Ù…Ù† Ù„Ù„Ø£Ø³Ù…Ø§Ùƒ Ø§Ù„ÙˆÙ„ÙˆØ¯Ø© (Safe-Drop),,,"Black,Blue",,
Aquatic 12mm Fish Feeder Ring,PTSTLS-1225-012,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,14,95*132*64,"Upgrade your aquarium with the Aquatic 12mm Fish Feeder Ring.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 95*132*64.   Easy to use and clean, it combines functionality with a sleek aesthetic.",1.05,0.84,20,https://drive.google.com/file/d/1uC2CzW1vR14_s_oqIYHDgEo1zo14iiTu/view?usp=drive_link,20% Discount,-1.05,12mm Fish Feeder Ring,Ø­Ù„Ù‚Ø© Ø¥Ø·Ø¹Ø§Ù… Ø£Ø³Ù…Ø§Ùƒ Ù…Ø§Ø¦ÙŠØ© 12 Ù…Ù…,,,"Black,White",,
Realistic 3D - Background (Wide),PTSTLS-1225-013,Aquarium Decor & Maintenance,Nature Scapes,Aquarium & Reptile Enthusiasts,101,190*105*97,"Upgrade your tank or terrarium with the Realistic 3D - Background (Wide).   Expertly designed for Aquarium & Reptile Enthusiasts, this high-quality accessory provides a realistic and engaging landscape for your pets.   Its durable construction ensures longevity, making it a perfect fit for any habitat.   Dimensions: 190*105*97.   Easy to use and clean, it combines functionality with a sleek aesthetic.",5.05,5.05,0,https://drive.google.com/file/d/1xldu9ZGjwRCICMWU8I-ihIqMtHjoGr2-/view?usp=drive_link,,5.05,3D - Background (Wide),Ø®Ù„ÙÙŠØ© Ø«Ù„Ø§Ø«ÙŠØ© Ø§Ù„Ø£Ø¨Ø¹Ø§Ø¯ ÙˆØ§Ù‚Ø¹ÙŠØ© (Ø¹Ø±ÙŠØ¶Ø©),,,"Black,White,,Blue",,
Realistic 3D Back Wall ( Stone Desert ),PTSTLS-1225-014,Aquarium Decor & Maintenance,Nature Scapes,Aquarium & Reptile Enthusiasts,101,190*82*129,"Upgrade your tank or terrarium with the Realistic 3D Back Wall ( Stone Desert ).   Expertly designed for Aquarium & Reptile Enthusiasts, this high-quality accessory provides a realistic and engaging landscape for your pets.   Its durable construction ensures longevity, making it a perfect fit for any habitat.    Easy to use and clean, it combines functionality with a sleek aesthetic.",5.05,5.05,0,https://drive.google.com/file/d/1_kG5fsC4-U9bxZl5y5JXade_43Ye99hU/view?usp=drive_link,,5.05,3D Back Wall ( Stone Desert ),Ø¬Ø¯Ø§Ø± Ø®Ù„ÙÙŠ Ø«Ù„Ø§Ø«ÙŠ Ø§Ù„Ø£Ø¨Ø¹Ø§Ø¯ ÙˆØ§Ù‚Ø¹ÙŠ (ØµØ­Ø±Ø§Ø¡ ØµØ®Ø±ÙŠØ©),,,Black,,
Realistic 3D Partial Background ( Stone Plate,PTSTLS-1225-015,Aquarium Decor & Maintenance,Nature Scapes,Aquarium & Reptile Enthusiasts,73,145*66*140,"Upgrade your tank or terrarium with the Realistic 3D Partial Background ( Stone Plate.   Expertly designed for Aquarium & Reptile Enthusiasts, this high-quality accessory provides a realistic and engaging landscape for your pets.   Its durable construction ensures longevity, making it a perfect fit for any habitat.   Dimensions: 145*66*140.   Easy to use and clean, it combines functionality with a sleek aesthetic.",3.65,3.65,0,https://drive.google.com/file/d/1CJI99eSwvGaFsz2ryCLV6SMdlrQDjbOI/view?usp=drive_link,,3.65,3D Partial Background ( Stone Plate,Ø®Ù„ÙÙŠØ© Ø¬Ø²Ø¦ÙŠØ© Ø«Ù„Ø§Ø«ÙŠØ© Ø§Ù„Ø£Ø¨Ø¹Ø§Ø¯ ÙˆØ§Ù‚Ø¹ÙŠØ© (Ù„ÙˆØ­ Ø­Ø¬Ø±ÙŠ),,,Black,,
Aquatic Anicent Ruin,PTSTLS-1225-016,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,104,119*139*91,"Upgrade your aquarium with the Aquatic Anicent Ruin.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 119*139*91.   Easy to use and clean, it combines functionality with a sleek aesthetic.",5.2,5.2,0,https://drive.google.com/file/d/1AbyNGrigJDdxufQKmeqeESaVF4hS9YY2/view?usp=drive_link,,5.2,Anicent Ruin,Ø£Ø·Ù„Ø§Ù„ Ù‚Ø¯ÙŠÙ…Ø© Ù„Ù„Ø£Ø­ÙˆØ§Ø¶ Ø§Ù„Ù…Ø§Ø¦ÙŠØ©,,,Black,,
Realistic Log With a hole Reptile hide,PTSTLS-1225-017,Aquarium Decor & Maintenance,Nature Scapes,Aquarium & Reptile Enthusiasts,15,76*46*41 / 152*92*82,"Upgrade your tank or terrarium with the Realistic Another Log With a hole Reptile hide.   Expertly designed for Aquarium & Reptile Enthusiasts, this high-quality accessory provides a realistic and engaging landscape for your pets.   Its durable construction ensures longevity, making it a perfect fit for any habitat.   Dimensions: 76*46*41 / 152*92*82.   Easy to use and clean, it combines functionality with a sleek aesthetic.",1.125,0.9,20,https://drive.google.com/file/d/1tsbkjaN3Wsh7Z4kMnyA5w3ArBoDxOiuf/view?usp=drive_link,20% Discount,-1.125,Another Log With a hole Reptile hide,Ø¬Ø°Ø¹ Ø´Ø¬Ø± ÙˆØ§Ù‚Ø¹ÙŠ Ø¨ÙØªØ­Ø© Ù„Ù…Ø®Ø¨Ø£ Ø§Ù„Ø²ÙˆØ§Ø­Ù,,,Black,,
Interactive Anti-Cat Closet Spikes (*6 pieces),PTSTLS-1225-018,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,95,300 * 231 * 12.4,"Upgrade your home with the Interactive Anti-Cat Closet Spikes (*6 pieces).   Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.   Its durable construction ensures longevity, making it a perfect fit for any play area.   Dimensions: 300 * 231 * 12.4.   Easy to use and clean, it combines functionality with a sleek aesthetic.",4.75,4.75,0,https://drive.google.com/file/d/1irij4ZMC2FvNcBlZcRZQ7yAS2scftSOk/view?usp=drive_link,,4.75,Anti-Cat Closet Spikes (*6 pieces),Ø£Ø´ÙˆØ§Ùƒ ØªÙØ§Ø¹Ù„ÙŠØ© Ù„Ø®Ø²Ø§Ø¦Ù† Ø§Ù„Ù…Ù„Ø§Ø¨Ø³ Ù„Ù…Ù†Ø¹ Ø§Ù„Ù‚Ø·Ø· (6 Ù‚Ø·Ø¹),,,"Black,,Blue",,
Aquatic Aquarium Corner Cave,PTSTLS-1225-019,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,71,155*155*49,"Upgrade your aquarium with the Aquatic Aquarium Corner Cave.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 155*155*49.   Easy to use and clean, it combines functionality with a sleek aesthetic.",3.55,3.55,0,https://drive.google.com/file/d/1SiNaLCKlX9BZzuF3jW10LZ9WM7P7xEZ2/view?usp=drive_link,,3.55,Aquarium Corner Cave,ÙƒÙ‡Ù Ø²Ø§ÙˆÙŠØ© Ù„Ø­ÙˆØ¶ Ø§Ù„Ø³Ù…Ùƒ,,,"Black,White,,",,
Aquatic Aquarium Divider for 20gallon long fish tank,PTSTLS-1225-020,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,279,7.6 * 280 * 299,"Upgrade your aquarium with the Aquatic Aquarium Divider for 20gallon long fish tank.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 7.6 * 280 * 299.   Easy to use and clean, it combines functionality with a sleek aesthetic.",11.16,11.16,0,https://drive.google.com/file/d/1h2-CKn_x9V-qGGNRhQ1O7uV0bal7TZ38/view?usp=drive_link,,11.16,Aquarium Divider for 20gallon long fish tank,ÙØ§ØµÙ„ Ø­ÙˆØ¶ Ø³Ù…Ùƒ (Ù„Ø­ÙˆØ¶ 20 Ø¬Ø§Ù„ÙˆÙ† Ø·ÙˆÙŠÙ„),,,"Black,White,,",,
Aquatic Aquarium floating fish feeder,PTSTLS-1225-021,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,13,70*70*50,"Upgrade your aquarium with the Aquatic Aquarium floating fish feeder.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 70*70*50.   Easy to use and clean, it combines functionality with a sleek aesthetic.",0.975,0.78,20,https://drive.google.com/file/d/1iZWxZNJZf0pSfpD6xEOk-n-5jASAt_5_/view?usp=drive_link,20% Discount,-0.975,Aquarium floating fish feeder,Ù…ØºØ°ÙŠ Ø£Ø³Ù…Ø§Ùƒ Ø¹Ø§Ø¦Ù… Ù„Ù„Ø­ÙˆØ¶,,,Black,,
Aquatic Aquarium hiding place for shrimp,PTSTLS-1225-022,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,92,151.3 * 46.5 * 64.3,"Upgrade your aquarium with the Aquatic Aquarium hiding place for shrimp.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 151.3 * 46.5 * 64.3.   Easy to use and clean, it combines functionality with a sleek aesthetic.",4.6,4.6,0,https://drive.google.com/file/d/1y_c0aujRqcPs1l1X_8fWE08TthGVsdHS/view?usp=drive_link,,4.6,Aquarium hiding place for shrimp,Ù…Ø®Ø¨Ø£ Ù„Ù„Ø±ÙˆØ¨ÙŠØ§Ù† ÙÙŠ Ø­ÙˆØ¶ Ø§Ù„Ø³Ù…Ùƒ,,,"Black,White,,",,
Aquatic Aquarium Hose Clamp (Fully Printable),PTSTLS-1225-023,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,59,55 * 70.6 * 96,"Upgrade your aquarium with the Aquatic Aquarium Hose Clamp (Fully Printable).   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 55 * 70.6 * 96.   Easy to use and clean, it combines functionality with a sleek aesthetic.",3.54,2.95,16.66666667,https://drive.google.com/file/d/15ahxJ8mTzFkv_JEdg0fSnyaiTV-o3RjR/view?usp=drive_link,16.67% Discount,-2.36,Aquarium Hose Clamp (Fully Printable),Ù…Ø´Ø¨Ùƒ Ø®Ø±Ø·ÙˆÙ… Ø­ÙˆØ¶ Ø§Ù„Ø³Ù…Ùƒ (Ù‚Ø§Ø¨Ù„ Ù„Ù„Ø·Ø¨Ø§Ø¹Ø© Ø¨Ø§Ù„ÙƒØ§Ù…Ù„),,,"Black,White,,",,
Aquatic Aquarium java moss tower,PTSTLS-1225-024,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,29,40*40*160,"Upgrade your aquarium with the Aquatic Aquarium java moss tower.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 40*40*160.   Easy to use and clean, it combines functionality with a sleek aesthetic.",2.175,1.74,20,https://drive.google.com/file/d/1MrU-tVUU-yUHrci6SHxnZCW7Ol0nj6EF/view?usp=drive_link,20% Discount,-2.175,Aquarium java moss tower,Ø¨Ø±Ø¬ Ø·Ø­Ø§Ù„Ø¨ Ø§Ù„Ø¬Ø§ÙØ§ Ù„Ù„Ø­ÙˆØ¶,,,Black,,
Aquatic Aquarium observation cave,PTSTLS-1225-025,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,86,150*80*70,"Upgrade your aquarium with the Aquatic Aquarium observation cave.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 150*80*70.   Easy to use and clean, it combines functionality with a sleek aesthetic.",4.3,4.3,0,https://drive.google.com/file/d/1cmZRD1ajej6ENX59-GHDNJQc0cFZy8gj/view?usp=drive_link,,4.3,Aquarium observation cave,ÙƒÙ‡Ù Ù…Ø±Ø§Ù‚Ø¨Ø© Ù„Ø­ÙˆØ¶ Ø§Ù„Ø³Ù…Ùƒ,,,Black,,
Aquatic Aquarium planter,PTSTLS-1225-026,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,11,40*40*40,"Upgrade your aquarium with the Aquatic Aquarium planter.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 40*40*40.   Easy to use and clean, it combines functionality with a sleek aesthetic.",0.825,0.66,20,https://drive.google.com/file/d/1Shobmh1cKrvnqkUgSDuhOBae_xuJfsm_/view?usp=drive_link,20% Discount,-0.825,Aquarium planter,Ø£ØµÙŠØµ Ù†Ø¨Ø§ØªØ§Øª Ù„Ø­ÙˆØ¶ Ø§Ù„Ø³Ù…Ùƒ,,,"Black,White,,",,
Aquatic Aquarium Rock Decor,PTSTLS-1225-027,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,38,93*91*67,"Upgrade your aquarium with the Aquatic Aquarium Rock Decor.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 93*91*67.   Easy to use and clean, it combines functionality with a sleek aesthetic.",2.28,1.9,16.66666667,https://drive.google.com/file/d/12QLeSb7OCkdZh-Lb7OfcoYV51wAX7tHr/view?usp=drive_link,16.67% Discount,-1.52,Aquarium Rock Decor,Ø¯ÙŠÙƒÙˆØ± ØµØ®ÙˆØ± Ù„Ø­ÙˆØ¶ Ø§Ù„Ø³Ù…Ùƒ,,,Black,,
Aquatic Aquarium Scoop,PTSTLS-1225-028,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,27,75*60*431,"Upgrade your aquarium with the Aquatic Aquarium Scoop.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 75*60*431.   Easy to use and clean, it combines functionality with a sleek aesthetic.",2.025,1.62,20,https://drive.google.com/file/d/1-e4SVGAkiM4TFO9zA4HI2xEek9qh_A0x/view?usp=drive_link,20% Discount,-2.025,Aquarium Scoop,Ù…ØºØ±ÙØ© Ø­ÙˆØ¶ Ø§Ù„Ø³Ù…Ùƒ,,,Black,,
Aquatic Aquarium Shrimp Tunnel,PTSTLS-1225-029,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,57,200*40*60,"Upgrade your aquarium with the Aquatic Aquarium Shrimp Tunnel.   Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.   Its durable construction ensures longevity, making it a perfect fit for any aquascape.   Dimensions: 200*40*60.   Easy to use and clean, it combines functionality with a sleek aesthetic.",3.42,2.85,16.66666667,https://drive.google.com/file/d/1u5bgamXBvMQMc2LWrfOoJDUCeZJCiDpU/view?usp=drive_link,16.67% Discount,-2.28,Aquarium Shrimp Tunnel,Ù†ÙÙ‚ Ù„Ù„Ø±ÙˆØ¨ÙŠØ§Ù† ÙÙŠ Ø­ÙˆØ¶ Ø§Ù„Ø³Ù…Ùƒ,,,"White,,",,
